"MlsNumber","PublicRemarks","Bathrooms","Bedrooms","InteriorSize","Type","Ammenities","Address","Price","PropertyType","ParkingSpace","OwnershipType","PostalCode"
"W4966653","Renovated Home In Immaculate Condition On Quiet Enclosed Street In A Great Neighbourhood. This Beautiful  Property Includes: Hardwood Through Main And 2nd Floor, 2 Reno Baths, Spacious Open Concept Living/Dining Room With Large Bay Window Huge Deck, Interlocking Driveway And Entry, Fanced Private Yard, Great Location !!! Must See !**** EXTRAS **** S/S Fridge, Stove, Microwave,Washer,Garage Door Opener And 1 Remote, Hard-Wired Internet Cable In Lr,Master And Office, Huge Cedar Deck, Newer Front Door, Newer Windows,Light Fixtures,Rough-In Cvac, Existing Window Coverings,Tv Mount, (27492835)","2","3",,"House",,,"$839,800 ","Single Family","4","Freehold","L5L1R3"
"W4966647","Mineola's Exclusive Enclave Of Extra Wide Executive Syletownhomes Truly One Of The Finest Locations Within Mineola School Area. Spectacular Large Open Concept With Huge Welcoming Foyer. New Flooring Thru-Out. Kitchen(2015), Bathrooms(2015), Finished Basement(2014) W/8' Ceiling Height, Lrg Bdrms, Oversized Garage, New Roof (2016). Walking Distance From Trendy Port Credit**** EXTRAS **** Existing Fridge, Stove, B/I Dishwasher, Washer & Dryer, Elf's, Window Coverings. Exclude:  Basement Freezer. Maintenance Fee Covers Cable, Water & Snow Removal And Also The Driveway.  Status Ordered. (27492826)","3","3",,"Row / Townhouse",,,"$799,000 ","Single Family","1","Condominium/Strata","L5G2R9"
"W4966661","Gorgeous Bright 3 Bdrm Corner Unit! Spacious Living/Dining Room, Laminate Floors Thru Out, Eat-In Kitchen With New Cabinets ,Counters Stainless Steel Appl., 3 Large Bdrms ,Master With Walk-In Closet & 2 Pce Ensuite Bath! Gorgeous Exposure With 3 Separate Stunning Views North, East, West! Huge Laundry Room Full Size New Washer/Dryer & Storage! Very Clean & Well Run Building With Strong Reserve Fund! Walk To New Cooksville ,Go Future Lrt & 1 Bus To Square One!**** EXTRAS **** Largest Layout-3 Bedroom! Newer Laminates, Renovated Modern Kitchen & 2 Baths, Central Air Conditioning! Mntce Fee Includes All Utilities & Cable! Over 1200 Sq Ft, Perfect Move In Condition In The Central Mississauga,Excellent Opptny!! (27492844)","2","3",,"Apartment","Sauna, Recreation Centre",,"$449,888 ","Single Family","1","Condominium/Strata","L5A3R1"
"W4966710","One Bedroom At 570 Lolita Gardens, High Quality Low Rise Building, Top Floor With Open Balcony Facing South-East, Granite Kitchen Counter, Stainless Steel Appliances, Ensuite Laundry With Extra Space For Storage, 1 Parking, 1 Locker, 9-Foot Ceiling, Near Public Transportation, Plaza, Park, Dundas & Cawthra, School, Park, Mid December 2020 Occupancy**** EXTRAS **** Fridge, Stove, Dishwasher, Exh.Fan, Washer/Dryer, All Elfs, Window Coverings, Amenities: Gym, Roof-Top Terrace, Party Room, Visitor Parking, Security System, Few Minutes To Square One Mall/Cooksville Go Station, Across From Cedarbrae Park (27492906)","1","1",,"Apartment","Storage - Locker, Party Room, Exercise Centre",,"$495,000 ","Single Family","1","Condominium/Strata","L5A0A1"
"C4966656","Location, Location, Location! Live In One Of The Original Buildings Built In Liberty Village. This Functional Floor Plan Offers A Large Master With Separate Enclosed Den That Can Be Used As An Office Or 2nd Bedroom. Laminate Floors, Granite Counters, Ss Appliances, Closet Organizers, And Ensuite Laundry Are Elegant And Convenient. Steps To Public Transit, Restaurants, Lounges, The Lake And Much More. Don't Miss Out On This Gem! ** Parking & Locker Included ****** EXTRAS **** Stainless Steel Appliances (Fridge, Stove, Microwave, Dishwasher), Washer/Dryer, All Existing Elf's. (27492764)","1","1 + 1",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre",,"$549,900 ","Single Family","1","Shares in Co-operative","M6K3R9"
"C4966700","Luxury Condo In The Core Of Financial District. Spacious 2 Br 2 Wr With A Study. 9' Ceiling With Floor To Ceiling Windows. Modern Kitchen Equips With Integrated Appliances And Wine Cooler. Fantastic Unobstructed City View Right Facing Nathan Philip Sq. Just Enjoy The Holiday Fireworks Sitting In Your Couch. Great Location With Walking In Mins To Almost Everything: City Hall, Eaton Center, Entertainment, Subway, Grocery, Theatre, Restaurants...**** EXTRAS **** Fridge, Stove, B/I Oven, B/I Microwave Oven, Washer, Dryer, Under Counter Wine Cooler. (27492820)","2","2 + 1",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre, Recreation Centre",,"$789,000 ","Single Family",,"Condominium/Strata","M5H4E8"
"C4966707","Bright And Spacious 1 Br +Den Condo Unit By Menkes. Unobstructed East View. 583 Sqft Plus A Balcony. Large Den With Door Can Be Used As A 2nd Bedroom. 9 Ft Ceilings, Open Concept, Laminate Flr Thru-Out, Kitchen With Integrated Appliances Plus Quartz Countertop. Step To College Subway, Ryerson University, Yonge-Dundas Sq, Eaton Centre, Loblaws, Restaurants, And U Of T.**** EXTRAS **** All Existing Elf, Fridge, Stove, Dishwasher, Microwave, Stacked Ensuite Washer & Dryer And All Furniture. (27492830)","1","1 + 1",,"Apartment","Security/Concierge, Party Room, Exercise Centre",,"$624,900 ","Single Family",,"Condominium/Strata","M5B1Z9"
"W4966644","Turn Key Luxury And Modern Living Surrounded By Nature! Do Not Miss The Opportunity To View This Sophisticated, Upgraded To 18 Ft Ceiling Loft! 2 Storey Windows, High End Laminate Floors, Beautiful Waterfall Black Granite Island And Glass Backsplash, 18 Ft Stunning Stone Featured Wall In The Living Room, Bedrooms Upgraded With Custom Windows. W/O To Private Patio With Extended Gas And Water Hose. Newly Painted. Minutes To Claireville Conserv.,Hwy 427&407**** EXTRAS **** S/S Appliances, B/I Brand New Microwave, Front Load Deep Washer & Dryer, Beautiful Light Fixtures, Custom Industrial Metal And Glass Staircase Railing. Windows Coverings. (27492822)","2","2 + 1",,"Apartment","Storage - Locker, Party Room, Exercise Centre",,"$639,999 ","Single Family","1","Condominium/Strata","L6P4K9"
"W4966652","Penthouse! Rarely Available 3 Bedroom Corner Unit With Large Balcony And Spectacular View! This Open Concept Layout Has A Sunken Family Room And An Ensuite Bath In The Master Bedroom. Just Move In!**** EXTRAS **** Electric Light Fixtures, Window Covering, Existing Appliances, Internet Included In Condo Fees. (27492833)","2","3",,"Apartment","Storage - Locker, Sauna, Exercise Centre, Recreation Centre",,"$699,888 ","Single Family","1","Condominium/Strata","M6N4X6""MlsNumber","PublicRemarks","Bathrooms","Bedrooms","InteriorSize","Type","Ammenities","Address","Price","PropertyType","ParkingSpace","OwnershipType","PostalCode"
"W4966696","Gorgeous 4 Bedroom + Study(Can Be Used As A 5th Bdrm), 4 Bathroom, 2 Car Garage, End Unit Freehold Town! Lots Of Windows, Lots Of Sunlight, Open Concept And Spacious, 2,285 Sqft Of Total Living Area. House Newly Painted. $$$ Spent On Builder Upgrade: Oak Staircase, Reconfigured Kitchen Layout, Heated Flooring In Basement, Rec Room With Bathroom. Brand New Laminated  Flooring In All Bedrooms.**** EXTRAS **** S/S Appliances: Fridge, Stove, Dishwasher, Range Hood W/Microwave. Washer/Dryer, Garage Door Opener W/Keypad & Remote,  Eccobee Thermostat, Comment Element Mthly Fee: $114.49 Includes Snow Removal & Shuttle Pass To Subway Station. (27492889)","4","4 + 1",,"Row / Townhouse",,,"$788,000 ","Single Family","3","Freehold","M3K0B5"
